split,image,patch_id,num_cells,lymphocyte,tumor_epi,stroma
train,TCGA-A8-A06U-01Z-00-DX1_20501_32001_1000_1000_0.93.png,TCGA-A8-A06U-01Z-00-DX1_20501_32001_1000_1000_0.93,249,1,228,20
train,TCGA-A8-A06X-01Z-00-DX1_30501_18501_1000_1000_0.93.png,TCGA-A8-A06X-01Z-00-DX1_30501_18501_1000_1000_0.93,274,86,140,48
train,TCGA-A8-A06Y-01Z-00-DX1_10501_13001_1000_1000_0.93.png,TCGA-A8-A06Y-01Z-00-DX1_10501_13001_1000_1000_0.93,301,182,33,86
train,TCGA-A8-A06Z-01Z-00-DX1_20001_20501_1000_1000_0.93.png,TCGA-A8-A06Z-01Z-00-DX1_20001_20501_1000_1000_0.93,252,0,227,25
train,TCGA-A8-A075-01Z-00-DX1_22501_23501_1000_1000_0.93.png,TCGA-A8-A075-01Z-00-DX1_22501_23501_1000_1000_0.93,224,17,183,24
train,TCGA-A8-A076-01Z-00-DX1_67501_50000_1000_1001_0.93.png,TCGA-A8-A076-01Z-00-DX1_67501_50000_1000_1001_0.93,129,13,89,27
train,TCGA-A8-A079-01Z-00-DX1_18001_26001_1000_1000_0.93.png,TCGA-A8-A079-01Z-00-DX1_18001_26001_1000_1000_0.93,273,9,202,62
train,TCGA-A8-A07B-01Z-00-DX1_20501_10001_1000_1000_0.93.png,TCGA-A8-A07B-01Z-00-DX1_20501_10001_1000_1000_0.93,161,7,116,38
train,TCGA-A8-A07F-01Z-00-DX1_55501_42001_1000_1000_0.93.png,TCGA-A8-A07F-01Z-00-DX1_55501_42001_1000_1000_0.93,201,7,152,42
train,TCGA-A8-A07G-01Z-00-DX1_13501_19501_1000_1000_0.93.png,TCGA-A8-A07G-01Z-00-DX1_13501_19501_1000_1000_0.93,129,4,73,52
train,TCGA-A8-A07J-01Z-00-DX1_24001_29001_1000_999_0.93.png,TCGA-A8-A07J-01Z-00-DX1_24001_29001_1000_999_0.93,244,9,182,53
train,TCGA-A8-A07L-01Z-00-DX1_15001_24001_1000_1000_0.93.png,TCGA-A8-A07L-01Z-00-DX1_15001_24001_1000_1000_0.93,316,8,283,25
train,TCGA-A8-A07S-01Z-00-DX1_18001_22501_1000_1000_0.93.png,TCGA-A8-A07S-01Z-00-DX1_18001_22501_1000_1000_0.93,402,0,363,39
train,TCGA-A8-A07U-01Z-00-DX1_26500_78501_1001_1000_0.93.png,TCGA-A8-A07U-01Z-00-DX1_26500_78501_1001_1000_0.93,212,87,93,32
train,TCGA-A8-A07Z-01Z-00-DX1_16001_32000_1000_1001_0.93.png,TCGA-A8-A07Z-01Z-00-DX1_16001_32000_1000_1001_0.93,253,19,198,36
train,TCGA-A8-A081-01Z-00-DX1_8001_14501_1000_1000_0.93.png,TCGA-A8-A081-01Z-00-DX1_8001_14501_1000_1000_0.93,314,143,155,16
train,TCGA-A8-A084-01Z-00-DX1_33501_14501_1000_1000_0.93.png,TCGA-A8-A084-01Z-00-DX1_33501_14501_1000_1000_0.93,193,1,180,12
train,TCGA-A8-A085-01Z-00-DX1_25001_39501_999_1000_0.93.png,TCGA-A8-A085-01Z-00-DX1_25001_39501_999_1000_0.93,277,0,267,10
train,TCGA-A8-A086-01Z-00-DX1_47501_77501_1000_1000_0.93.png,TCGA-A8-A086-01Z-00-DX1_47501_77501_1000_1000_0.93,319,9,278,32
train,TCGA-A8-A08A-01Z-00-DX1_62001_17001_1000_1000_0.93.png,TCGA-A8-A08A-01Z-00-DX1_62001_17001_1000_1000_0.93,219,4,170,45
train,TCGA-A8-A08B-01Z-00-DX1_17501_74001_1000_1000_0.93.png,TCGA-A8-A08B-01Z-00-DX1_17501_74001_1000_1000_0.93,263,103,98,62
train,TCGA-A8-A08C-01Z-00-DX1_27501_62500_999_1001_0.93.png,TCGA-A8-A08C-01Z-00-DX1_27501_62500_999_1001_0.93,302,1,289,12
train,TCGA-A8-A08I-01Z-00-DX1_43001_57500_1000_1001_0.93.png,TCGA-A8-A08I-01Z-00-DX1_43001_57500_1000_1001_0.93,292,86,130,76
train,TCGA-A8-A08J-01Z-00-DX1_67501_87001_1000_1000_0.93.png,TCGA-A8-A08J-01Z-00-DX1_67501_87001_1000_1000_0.93,306,3,270,33
train,TCGA-A8-A08T-01Z-00-DX1_28001_36001_1000_1000_0.93.png,TCGA-A8-A08T-01Z-00-DX1_28001_36001_1000_1000_0.93,203,10,113,80
train,TCGA-A8-A0A1-01Z-00-DX1_33001_64001_1000_1000_0.93.png,TCGA-A8-A0A1-01Z-00-DX1_33001_64001_1000_1000_0.93,175,0,0,175
train,TCGA-A8-A0A4-01Z-00-DX1_9001_90001_1000_1000_0.93.png,TCGA-A8-A0A4-01Z-00-DX1_9001_90001_1000_1000_0.93,188,1,109,78
train,TCGA-A8-A0AD-01Z-00-DX1_23501_19001_1000_1000_0.93.png,TCGA-A8-A0AD-01Z-00-DX1_23501_19001_1000_1000_0.93,115,6,19,90
train,TCGA-AC-A23C-01Z-00-DX1_7501_22001_1000_1000_0.9827999999999999.png,TCGA-AC-A23C-01Z-00-DX1_7501_22001_1000_1000_0.9827999999999999,74,2,0,72
train,TCGA-AC-A23E-01Z-00-DX1_13501_41001_1000_1000_0.9827999999999999.png,TCGA-AC-A23E-01Z-00-DX1_13501_41001_1000_1000_0.9827999999999999,70,1,0,69
train,TCGA-AC-A23G-01Z-00-DX1_6001_12501_1000_1000_0.9827999999999999.png,TCGA-AC-A23G-01Z-00-DX1_6001_12501_1000_1000_0.9827999999999999,62,0,7,55
train,TCGA-AC-A23H-01Z-00-DX1_23001_13501_1000_1000_0.9827999999999999.png,TCGA-AC-A23H-01Z-00-DX1_23001_13501_1000_1000_0.9827999999999999,101,6,5,90
train,TCGA-AC-A2B8-01Z-00-DX1_55001_25001_1000_1000_0.9847999999999999.png,TCGA-AC-A2B8-01Z-00-DX1_55001_25001_1000_1000_0.9847999999999999,58,1,0,57
train,TCGA-AC-A2BK-01Z-00-DX1_8501_19001_1000_1000_1.008.png,TCGA-AC-A2BK-01Z-00-DX1_8501_19001_1000_1000_1.008,71,9,0,62
train,TCGA-AC-A2BM-01Z-00-DX1_30501_31000_1000_1001_1.008.png,TCGA-AC-A2BM-01Z-00-DX1_30501_31000_1000_1001_1.008,253,77,0,176
train,TCGA-AC-A2FB-01Z-00-DX1_20001_16501_1000_1000_1.008.png,TCGA-AC-A2FB-01Z-00-DX1_20001_16501_1000_1000_1.008,84,4,0,80
train,TCGA-AC-A2FE-01Z-00-DX1_35001_24001_1000_1000_0.9827999999999999.png,TCGA-AC-A2FE-01Z-00-DX1_35001_24001_1000_1000_0.9827999999999999,95,1,0,94
train,TCGA-AC-A2FF-01Z-00-DX1_75001_41001_1000_1000_1.008.png,TCGA-AC-A2FF-01Z-00-DX1_75001_41001_1000_1000_1.008,94,11,0,83
train,TCGA-AC-A2FK-01Z-00-DX1_24501_7501_1000_999_1.008.png,TCGA-AC-A2FK-01Z-00-DX1_24501_7501_1000_999_1.008,124,4,27,93
train,TCGA-AC-A2FM-01Z-00-DX1_29501_22001_1000_1000_1.008.png,TCGA-AC-A2FM-01Z-00-DX1_29501_22001_1000_1000_1.008,169,5,0,164
train,TCGA-AC-A2FO-01Z-00-DX1_12501_27001_1000_1000_1.008.png,TCGA-AC-A2FO-01Z-00-DX1_12501_27001_1000_1000_1.008,323,0,298,25
train,TCGA-AC-A3BB-01Z-00-DX1_2001_25001_1000_1000_1.008.png,TCGA-AC-A3BB-01Z-00-DX1_2001_25001_1000_1000_1.008,53,2,0,51
train,TCGA-AC-A3EH-01Z-00-DX1_15001_24001_1000_1000_0.9827999999999999.png,TCGA-AC-A3EH-01Z-00-DX1_15001_24001_1000_1000_0.9827999999999999,23,0,0,23
val,TCGA-A7-A0DB-01Z-00-DX1_168501_13501_1000_1000_0.986.png,TCGA-A7-A0DB-01Z-00-DX1_168501_13501_1000_1000_0.986,315,148,35,132
val,TCGA-A7-A13G-01Z-00-DX2_14501_11501_1000_1000_0.9824.png,TCGA-A7-A13G-01Z-00-DX2_14501_11501_1000_1000_0.9824,369,224,54,91
val,TCGA-A7-A2KD-01Z-00-DX1_91000_26001_1001_1000_0.9824.png,TCGA-A7-A2KD-01Z-00-DX1_91000_26001_1001_1000_0.9824,491,277,36,178
val,TCGA-A7-A6VW-01Z-00-DX1_69501_18001_1000_1000_0.9824.png,TCGA-A7-A6VW-01Z-00-DX1_69501_18001_1000_1000_0.9824,528,356,66,106
val,TCGA-A8-A06O-01Z-00-DX1_28501_31001_1000_1000_0.93.png,TCGA-A8-A06O-01Z-00-DX1_28501_31001_1000_1000_0.93,458,263,27,168
val,TCGA-A8-A07E-01Z-00-DX1_55501_92001_1000_1000_0.93.png,TCGA-A8-A07E-01Z-00-DX1_55501_92001_1000_1000_0.93,242,16,135,91
val,TCGA-A8-A07P-01Z-00-DX1_13001_35001_1000_1000_0.93.png,TCGA-A8-A07P-01Z-00-DX1_13001_35001_1000_1000_0.93,240,37,88,115
val,TCGA-A8-A082-01Z-00-DX1_24501_29501_1000_1000_0.93.png,TCGA-A8-A082-01Z-00-DX1_24501_29501_1000_1000_0.93,362,30,292,40
val,TCGA-AC-A2FG-01Z-00-DX1_30501_12001_999_1000_1.008.png,TCGA-AC-A2FG-01Z-00-DX1_30501_12001_999_1000_1.008,51,0,0,51
val,TCGA-AC-A2QI-01Z-00-DX1_6501_29001_1000_999_0.9847999999999999.png,TCGA-AC-A2QI-01Z-00-DX1_6501_29001_1000_999_0.9847999999999999,77,7,0,70
test,TCGA-A8-A099-01Z-00-DX1_29501_22501_1000_1000_0.93.png,TCGA-A8-A099-01Z-00-DX1_29501_22501_1000_1000_0.93,324,89,144,91
test,TCGA-A8-A09A-01Z-00-DX1_14001_36001_1000_1000_0.93.png,TCGA-A8-A09A-01Z-00-DX1_14001_36001_1000_1000_0.93,217,58,110,49
test,TCGA-A8-A09B-01Z-00-DX1_11001_39001_1000_1000_0.93.png,TCGA-A8-A09B-01Z-00-DX1_11001_39001_1000_1000_0.93,207,56,73,78
test,TCGA-A8-A09C-01Z-00-DX1_23001_46001_1000_1000_0.93.png,TCGA-A8-A09C-01Z-00-DX1_23001_46001_1000_1000_0.93,279,80,133,66
test,TCGA-A8-A09D-01Z-00-DX1_20501_29501_1000_1000_0.93.png,TCGA-A8-A09D-01Z-00-DX1_20501_29501_1000_1000_0.93,284,1,254,29
test,TCGA-A8-A09E-01Z-00-DX1_11001_11501_1000_1000_0.93.png,TCGA-A8-A09E-01Z-00-DX1_11001_11501_1000_1000_0.93,243,1,212,30
test,TCGA-A8-A09G-01Z-00-DX1_14501_21501_1000_1000_0.93.png,TCGA-A8-A09G-01Z-00-DX1_14501_21501_1000_1000_0.93,191,26,145,20
test,TCGA-A8-A09Q-01Z-00-DX1_15001_15001_1000_1000_0.93.png,TCGA-A8-A09Q-01Z-00-DX1_15001_15001_1000_1000_0.93,354,163,105,86
test,TCGA-A8-A09R-01Z-00-DX1_11001_36501_1000_1000_0.93.png,TCGA-A8-A09R-01Z-00-DX1_11001_36501_1000_1000_0.93,229,15,89,125
test,TCGA-A8-A09T-01Z-00-DX1_16000_27501_1001_1000_0.93.png,TCGA-A8-A09T-01Z-00-DX1_16000_27501_1001_1000_0.93,261,11,182,68
test,TCGA-OL-A66L-01Z-00-DX1_43501_65501_1000_1000_0.65748.png,TCGA-OL-A66L-01Z-00-DX1_43501_65501_1000_1000_0.65748,179,113,16,50
test,TCGA-OL-A66N-01Z-00-DX1_64001_58001_1000_1000_0.65748.png,TCGA-OL-A66N-01Z-00-DX1_64001_58001_1000_1000_0.65748,35,0,8,27
test,TCGA-OL-A66O-01Z-00-DX1_77501_76501_1000_1000_0.65748.png,TCGA-OL-A66O-01Z-00-DX1_77501_76501_1000_1000_0.65748,84,0,37,47
test,TCGA-OL-A66P-01Z-00-DX1_33501_25501_1000_1000_0.65748.png,TCGA-OL-A66P-01Z-00-DX1_33501_25501_1000_1000_0.65748,144,32,70,42
test,TCGA-OL-A6VQ-01Z-00-DX1_80501_49501_1000_1000_1.0108.png,TCGA-OL-A6VQ-01Z-00-DX1_80501_49501_1000_1000_1.0108,495,30,453,12
test,TCGA-PE-A5DC-01Z-00-DX1_49501_38001_1000_1000_0.9824.png,TCGA-PE-A5DC-01Z-00-DX1_49501_38001_1000_1000_0.9824,320,0,254,66
test,TCGA-PE-A5DD-01Z-00-DX1_48501_41501_1000_1000_0.9824.png,TCGA-PE-A5DD-01Z-00-DX1_48501_41501_1000_1000_0.9824,458,2,440,16
test,TCGA-PE-A5DE-01Z-00-DX1_14001_15501_1000_1000_0.9824.png,TCGA-PE-A5DE-01Z-00-DX1_14001_15501_1000_1000_0.9824,479,125,235,119
test,TCGA-S3-A6ZF-01Z-00-DX1_55001_27501_1000_1000_1.01.png,TCGA-S3-A6ZF-01Z-00-DX1_55001_27501_1000_1000_1.01,254,3,190,61
test,TCGA-S3-A6ZG-01Z-00-DX1_39001_41501_1000_1000_1.01.png,TCGA-S3-A6ZG-01Z-00-DX1_39001_41501_1000_1000_1.01,115,13,0,102
test,TCGA-S3-A6ZH-01Z-00-DX1_17501_15501_1000_1000_1.01.png,TCGA-S3-A6ZH-01Z-00-DX1_17501_15501_1000_1000_1.01,317,1,308,8
test,TCGA-S3-AA17-01Z-00-DX1_31501_41001_1000_1000_1.0108.png,TCGA-S3-AA17-01Z-00-DX1_31501_41001_1000_1000_1.0108,385,81,215,89
test,TCGA-UL-AAZ6-01Z-00-DX1_50001_52501_1000_999_1.01.png,TCGA-UL-AAZ6-01Z-00-DX1_50001_52501_1000_999_1.01,220,15,115,90
test,TCGA-UU-A93S-01Z-00-DX1_68001_47001_1000_1000_1.0108.png,TCGA-UU-A93S-01Z-00-DX1_68001_47001_1000_1000_1.0108,296,4,272,20
test,TCGA-W8-A86G-01Z-00-DX2_41501_52001_1000_1000_1.0108.png,TCGA-W8-A86G-01Z-00-DX2_41501_52001_1000_1000_1.0108,574,5,529,40
test,TCGA-WT-AB41-01Z-00-DX1_78501_44501_1000_1000_1.0108.png,TCGA-WT-AB41-01Z-00-DX1_78501_44501_1000_1000_1.0108,582,25,402,155
test,TCGA-WT-AB44-01Z-00-DX1_39001_53000_1000_1001_1.0108.png,TCGA-WT-AB44-01Z-00-DX1_39001_53000_1000_1001_1.0108,262,0,216,46
test,TCGA-XX-A899-01Z-00-DX1_35501_50501_1000_1000_1.0108.png,TCGA-XX-A899-01Z-00-DX1_35501_50501_1000_1000_1.0108,281,6,233,42
test,TCGA-XX-A89A-01Z-00-DX1_34501_50000_1000_1001_1.0108.png,TCGA-XX-A89A-01Z-00-DX1_34501_50000_1000_1001_1.0108,276,1,267,8
test,TCGA-Z7-A8R6-01Z-00-DX1_41501_40501_1000_1000_1.0108.png,TCGA-Z7-A8R6-01Z-00-DX1_41501_40501_1000_1000_1.0108,513,4,402,107
